journal,year,edition,referenced num this year,published num in the first 6 months,published num this year,num of paper,num of self_scitation in the first 6 months,num of self_scitation,num of reference this year,review doctype num,something,num authors
ARCH PHYSIOL BIOCHEM,2008,,0,0,0,0,0,0,0,0,0,0
ARCH PHYSIOL BIOCHEM,2009,,0,0,0,0,0,0,0,0,0,0
ARCH PHYSIOL BIOCHEM,2010,,0,0,0,0,0,0,0,0,0,0
ARCH PHYSIOL BIOCHEM,2011,WOS.SCI,0,0,5,5,0,0,35,0,0,30
ARCH PHYSIOL BIOCHEM,2012,WOS.SCI,8,10,30,30,0,0,409,4,0,163
ARCH PHYSIOL BIOCHEM,2013,WOS.SCI,57,11,27,27,2,3,548,2,24,142
LINGUISTICS,2008,,0,0,0,0,0,0,0,0,0,0
LINGUISTICS,2009,WOS.SSCI,0,5,5,5,0,0,5,0,0,5
LINGUISTICS,2010,WOS.SSCI,3,15,15,15,2,2,20,2,2,22
LINGUISTICS,2011,WOS.SSCI,9,22,22,22,0,0,72,0,4,41
LINGUISTICS,2012,WOS.SSCI,17,27,27,27,1,1,71,0,8,44
LINGUISTICS,2013,WOS.SSCI,32,18,29,29,0,2,124,1,9,53
PSYCHIAT ANN,2008,WOS.SSCI,2,8,31,31,0,2,73,0,0,78
PSYCHIAT ANN,2009,WOS.SSCI,14,23,45,45,1,5,130,3,4,110
PSYCHIAT ANN,2010,WOS.SSCI,38,31,62,62,0,0,366,6,21,147
PSYCHIAT ANN,2011,WOS.SSCI,90,38,80,80,1,8,551,0,41,166
PSYCHIAT ANN,2012,WOS.SSCI,128,30,70,70,3,3,541,0,14,145
PSYCHIAT ANN,2013,WOS.SSCI,128,36,74,74,10,11,605,2,11,197
RADIAT PROT DOSIM,2008,WOS.SCI,5,9,70,70,0,5,118,0,0,235
RADIAT PROT DOSIM,2009,WOS.SCI,61,32,88,88,4,15,185,2,15,316
RADIAT PROT DOSIM,2010,WOS.SCI,253,125,234,234,41,68,674,1,99,797
RADIAT PROT DOSIM,2011,WOS.SCI,459,216,335,335,53,93,953,6,113,1250
RADIAT PROT DOSIM,2012,WOS.SCI,777,170,298,298,100,182,1234,2,263,1202
RADIAT PROT DOSIM,2013,WOS.SCI,1092,120,284,284,106,265,1617,3,273,1146
ENVIRONMENT,2008,WOS.SCI,1,2,10,10,0,0,16,0,0,18
ENVIRONMENT,2009,WOS.SCI,21,5,10,10,3,5,38,0,8,15
ENVIRONMENT,2010,WOS.SCI,45,10,19,19,3,6,80,0,18,49
ENVIRONMENT,2011,WOS.SCI,58,8,19,19,0,2,88,0,9,55
ENVIRONMENT,2012,WOS.SCI,110,15,19,19,6,8,90,0,24,41
ENVIRONMENT,2013,WOS.SCI,140,9,17,17,2,5,87,0,19,67
DENT MATER,2008,WOS.SCI,1,2,14,14,0,0,17,0,0,63
DENT MATER,2009,WOS.SCI,83,47,123,123,7,28,336,0,18,475
DENT MATER,2010,WOS.SCI,353,74,145,145,24,72,806,9,118,542
DENT MATER,2011,WOS.SCI,926,74,161,161,103,234,1398,7,383,596
DENT MATER,2012,WOS.SCI,1700,85,173,173,186,363,1763,5,527,641
DENT MATER,2013,WOS.SCI,2664,83,176,176,279,537,2524,6,678,722
J QUATERNARY SCI,2008,WOS.SCI,35,8,25,25,14,24,60,4,0,95
J QUATERNARY SCI,2009,WOS.SCI,142,18,56,56,8,32,181,7,41,209
J QUATERNARY SCI,2010,WOS.SCI,361,47,119,119,32,67,743,10,117,472
J QUATERNARY SCI,2011,WOS.SCI,537,46,93,93,35,56,834,0,184,397
J QUATERNARY SCI,2012,WOS.SCI,905,46,100,100,41,94,1165,4,311,455
J QUATERNARY SCI,2013,WOS.SCI,1225,46,82,82,55,100,1234,3,221,431
COMPUT COMMUN,2008,WOS.SCI,2,7,16,16,2,2,27,1,0,51
COMPUT COMMUN,2009,WOS.SCI,5,23,45,45,0,0,68,1,0,142
COMPUT COMMUN,2010,WOS.SCI,39,55,119,119,1,2,254,3,14,393
COMPUT COMMUN,2011,WOS.SCI,167,67,139,139,6,36,566,4,49,467
COMPUT COMMUN,2012,WOS.SCI,282,104,180,180,13,37,746,6,97,614
COMPUT COMMUN,2013,WOS.SCI,541,88,125,125,29,61,720,5,143,396
CHINESE J PHYSIOL,2008,WOS.SCI,0,0,7,7,0,0,14,4,0,27
CHINESE J PHYSIOL,2009,WOS.SCI,4,6,27,27,1,1,113,10,0,102
CHINESE J PHYSIOL,2010,WOS.SCI,19,20,46,46,6,7,181,7,11,228
CHINESE J PHYSIOL,2011,WOS.SCI,35,19,44,44,2,5,280,0,15,263
CHINESE J PHYSIOL,2012,WOS.SCI,104,26,49,49,8,29,404,1,31,270
CHINESE J PHYSIOL,2013,WOS.SCI,219,25,45,45,21,52,375,1,68,203
J MOL NEUROSCI,2008,WOS.SCI,5,4,28,28,0,1,47,2,0,132
J MOL NEUROSCI,2009,WOS.SCI,82,30,69,69,1,4,205,2,25,331
J MOL NEUROSCI,2010,WOS.SCI,316,84,139,139,3,29,752,0,115,687
J MOL NEUROSCI,2011,WOS.SCI,638,84,178,178,31,37,2211,1,225,865
J MOL NEUROSCI,2012,WOS.SCI,1166,120,240,240,24,123,2773,1,396,1324
J MOL NEUROSCI,2013,WOS.SCI,1629,115,260,260,41,103,3571,3,517,1490
J SURV ENG,2008,,0,0,0,0,0,0,0,0,0,0
J SURV ENG,2009,WOS.SCI,0,0,3,3,0,0,5,0,0,6
J SURV ENG,2010,,1,0,0,0,0,0,0,0,0,0
J SURV ENG,2011,WOS.SCI,2,1,1,1,0,0,4,0,1,2
J SURV ENG,2012,WOS.SCI,2,0,2,2,0,0,8,0,0,2
J SURV ENG,2013,WOS.SCI,9,1,11,11,0,1,64,0,1,28
J ARCHIT PLAN RES,2008,,0,0,0,0,0,0,0,0,0,0
J ARCHIT PLAN RES,2009,WOS.SSCI,0,0,4,4,0,0,5,0,0,7
J ARCHIT PLAN RES,2010,WOS.SSCI,1,6,12,12,0,1,17,1,0,21
J ARCHIT PLAN RES,2011,WOS.SSCI,11,7,14,14,3,9,47,0,3,27
J ARCHIT PLAN RES,2012,WOS.SSCI,14,8,16,16,7,11,33,0,9,29
J ARCHIT PLAN RES,2013,WOS.SSCI,10,8,15,15,2,7,55,0,1,33
ISSUES LAW MED,2008,WOS.SSCI,0,0,2,2,0,0,8,0,0,2
ISSUES LAW MED,2009,WOS.SSCI,1,3,4,4,0,0,9,2,0,5
ISSUES LAW MED,2010,WOS.SSCI,1,2,2,2,0,0,3,0,0,2
ISSUES LAW MED,2011,WOS.SSCI,6,1,3,3,0,0,6,0,4,5
ISSUES LAW MED,2012,WOS.SSCI,4,1,1,1,0,0,2,0,1,1
ISSUES LAW MED,2013,,7,0,0,0,0,0,0,0,1,0
BMC PLANT BIOL,2008,WOS.SCI,20,17,62,62,0,3,133,3,0,343
BMC PLANT BIOL,2009,WOS.SCI,232,73,136,136,5,14,599,5,76,787
BMC PLANT BIOL,2010,WOS.SCI,827,131,287,287,25,72,2609,0,345,1691
BMC PLANT BIOL,2011,WOS.SCI,1862,108,185,185,47,101,2605,1,685,1187
BMC PLANT BIOL,2012,WOS.SCI,3160,100,245,245,68,175,4351,0,988,1621
BMC PLANT BIOL,2013,WOS.SCI,4057,90,227,227,50,147,4564,0,755,1361
SCHMERZ,2008,WOS.SCI,2,3,14,14,0,1,32,2,0,22
SCHMERZ,2009,WOS.SCI,26,23,55,55,6,12,167,11,6,189
SCHMERZ,2010,WOS.SCI,60,33,64,64,14,27,376,5,28,198
SCHMERZ,2011,WOS.SCI,103,34,63,63,16,30,413,3,49,235
SCHMERZ,2012,WOS.SCI,229,35,73,73,41,62,822,18,63,254
SCHMERZ,2013,WOS.SCI,298,32,60,60,41,78,670,8,101,229
ENTROPY-SWITZ,2008,WOS.SCI,1,1,5,5,0,0,20,2,0,9
ENTROPY-SWITZ,2009,WOS.SCI,15,1,11,11,0,0,60,2,9,20
ENTROPY-SWITZ,2010,WOS.SCI,49,58,94,94,9,21,532,16,10,206
ENTROPY-SWITZ,2011,WOS.SCI,173,57,94,94,21,33,713,10,73,220
ENTROPY-SWITZ,2012,WOS.SCI,301,51,121,121,25,55,1349,11,133,280
ENTROPY-SWITZ,2013,WOS.SCI,593,116,264,264,55,134,2995,25,174,677
MMWR RECOMM REP,2008,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2009,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2010,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2011,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2012,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2013,WOS.SCI,20,6,10,10,0,0,332,0,0,76
MET MATER INT,2008,WOS.SCI,0,1,8,8,0,0,11,0,0,29
MET MATER INT,2009,WOS.SCI,14,35,84,84,0,3,193,0,2,357
MET MATER INT,2010,WOS.SCI,108,64,126,126,8,19,415,0,39,499
MET MATER INT,2011,WOS.SCI,259,71,139,139,25,38,581,0,127,506
MET MATER INT,2012,WOS.SCI,514,73,145,145,20,59,770,0,190,593
MET MATER INT,2013,WOS.SCI,581,84,186,186,37,69,1269,1,170,678
EXPERT OPIN THER TAR,2008,WOS.SCI,25,18,72,72,0,2,363,63,0,227
EXPERT OPIN THER TAR,2009,WOS.SCI,255,61,114,114,4,8,1780,99,86,378
EXPERT OPIN THER TAR,2010,WOS.SCI,662,52,108,108,6,16,2503,90,292,388
EXPERT OPIN THER TAR,2011,WOS.SCI,1039,59,112,112,11,21,3496,91,393,391
EXPERT OPIN THER TAR,2012,WOS.SCI,1585,79,131,131,11,23,4507,111,422,462
